id,name,agent_id,password_hash,department,created_at,last_login,total_resolved,status,warning_count,is_blocked,role
14,Supervisor Water Supp...,AGT10006,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Water Supply,2026-03-24 23:22:57,,0,active,0,0,supervisor
15,Worker Water 2,AGT10007,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Water Supply,2026-03-24 23:22:57,,0,active,0,0,worker
16,Worker Water 3,AGT10008,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Water Supply,2026-03-24 23:22:57,,0,active,0,0,worker
17,Supervisor Drainage &...,AGT10009,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Drainage & Sewerage,2026-03-24 23:22:57,,0,active,0,0,supervisor
18,Worker Drain 1,AGT10010,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Drainage & Sewerage,2026-03-24 23:22:57,,0,active,0,0,worker
19,Worker Drain 2,AGT10011,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Drainage & Sewerage,2026-03-24 23:22:57,,0,active,0,0,worker
20,Worker Drain 3,AGT10012,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Drainage & Sewerage,2026-03-24 23:22:57,,0,active,0,0,worker
21,Supervisor Parks & Tr...,AGT10013,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Parks & Tree Maintenance,2026-03-24 23:22:57,,0,active,0,0,supervisor
22,Worker Parks 1,AGT10014,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Parks & Tree Maintenance,2026-03-24 23:22:57,,0,active,0,0,worker
23,Worker Parks 2,AGT10015,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Parks & Tree Maintenance,2026-03-24 23:22:57,,0,active,0,0,worker
24,Worker Parks 3,AGT10016,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Parks & Tree Maintenance,2026-03-24 23:22:57,,0,active,0,0,worker
25,Supervisor Traffic Ma...,AGT10017,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Traffic Management,2026-03-24 23:22:57,,0,active,0,0,supervisor
26,Worker Traff 1,AGT10018,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Traffic Management,2026-03-24 23:22:57,,0,active,0,0,worker
27,Worker Traff 2,AGT10019,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Traffic Management,2026-03-24 23:22:57,,0,active,0,0,worker
28,Worker Traff 3,AGT10020,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Traffic Management,2026-03-24 23:22:57,,0,active,0,0,worker
29,Supervisor Public Saf...,AGT10021,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Public Safety & General,2026-03-24 23:22:57,,0,active,0,0,supervisor
30,Worker Publi 1,AGT10022,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Public Safety & General,2026-03-24 23:22:57,,0,active,0,0,worker
31,Worker Publi 2,AGT10023,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Public Safety & General,2026-03-24 23:22:57,,0,active,0,0,worker
32,Worker Publi 3,AGT10024,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Public Safety & General,2026-03-24 23:22:57,,0,active,0,0,worker
